"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ILMN_1248696"	"5.80e-06"	"1.85e-07"	"15.0632418"	"7.914963"	"2.86379315"	"Lrrc8c"	"leucine rich repeat containing 8 family, member C"
"ILMN_3162925"	"5.87e-06"	"1.88e-07"	"15.0370265"	"7.89981"	"2.88826816"	"C130026I21Rik"	"RIKEN cDNA C130026I21 gene"
"ILMN_1239770"	"5.92e-06"	"1.90e-07"	"15.0171467"	"7.888301"	"2.80934263"	"Peli1"	"pellino 1"
"ILMN_2599214"	"6.05e-06"	"1.94e-07"	"-14.973519"	"7.862988"	"-3.10022201"	"6430548M08Rik"	"RIKEN cDNA 6430548M08 gene"
"ILMN_3140913"	"6.05e-06"	"1.95e-07"	"-14.9711224"	"7.861596"	"-3.84461264"	"Tbc1d2"	"TBC1 domain family, member 2"
"ILMN_1222036"	"6.08e-06"	"1.97e-07"	"-14.9518623"	"7.850395"	"-2.26937946"	"Paqr7"	"progestin and adipoQ receptor family member VII"
"ILMN_2722732"	"6.08e-06"	"1.97e-07"	"14.9512332"	"7.850029"	"3.34090935"	"Srgn"	"serglycin"
"ILMN_2504823"	"6.08e-06"	"1.97e-07"	"-14.9511827"	"7.849999"	"-2.60927272"	"Trim47"	"tripartite motif-containing 47"
"ILMN_3103896"	"6.12e-06"	"1.98e-07"	"14.9380488"	"7.842352"	"2.91084875"	"Timp1"	"tissue inhibitor of metalloproteinase 1"
"ILMN_2602581"	"6.12e-06"	"1.99e-07"	"-14.9339453"	"7.839962"	"-2.55079246"	"Gmpr"	"guanosine monophosphate reductase"
"ILMN_2781181"	"6.15e-06"	"2.01e-07"	"-14.9152709"	"7.829074"	"-2.22670993"	"Arfgef3"	"ARFGEF family member 3"
"ILMN_1228937"	"6.15e-06"	"2.01e-07"	"-14.9128712"	"7.827674"	"-2.20469866"	"Cyhr1"	"cysteine and histidine rich 1"
"ILMN_1220846"	"6.15e-06"	"2.01e-07"	"-14.9122815"	"7.82733"	"-2.54908701"	"Ccdc85b"	"coiled-coil domain containing 85B"
"ILMN_2816754"	"6.15e-06"	"2.01e-07"	"-14.9115238"	"7.826887"	"-2.6556593"	"Ndc80"	"NDC80 kinetochore complex component"
"ILMN_3150536"	"6.15e-06"	"2.02e-07"	"14.9079944"	"7.824827"	"2.89723548"	"Rmdn3"	"regulator of microtubule dynamics 3"
"ILMN_1242466"	"6.21e-06"	"2.04e-07"	"14.8843042"	"7.810988"	"2.6287772"	"Psmb9"	"proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)"
"ILMN_3096592"	"6.21e-06"	"2.05e-07"	"-14.8768329"	"7.806619"	"-2.56238235"	"Epb41l1"	"erythrocyte membrane protein band 4.1 like 1"
"ILMN_1227900"	"6.21e-06"	"2.06e-07"	"14.8714364"	"7.803461"	"2.28643956"	"Il12rb1"	"interleukin 12 receptor, beta 1"
"ILMN_2968907"	"6.21e-06"	"2.06e-07"	"-14.8682893"	"7.801619"	"-2.47254093"	"Tipin"	"timeless interacting protein"
"ILMN_2904321"	"6.21e-06"	"2.07e-07"	"14.8650545"	"7.799726"	"2.36436238"	"Akt3"	"thymoma viral proto-oncogene 3"
"ILMN_2847144"	"6.21e-06"	"2.07e-07"	"-14.8639087"	"7.799055"	"-3.03351873"	"Hist1h2ak"	"histone cluster 1, H2ak"
"ILMN_1220799"	"6.21e-06"	"2.07e-07"	"14.863832"	"7.79901"	"2.18096764"	"Tank"	"TRAF family member-associated Nf-kappa B activator"
"ILMN_2716935"	"6.21e-06"	"2.07e-07"	"14.8627043"	"7.79835"	"2.3348444"	"Cybb"	"cytochrome b-245, beta polypeptide"
"ILMN_1217041"	"6.21e-06"	"2.07e-07"	"14.8597011"	"7.796591"	"2.40659776"	"Cd86"	"CD86 antigen"
"ILMN_2883952"	"6.21e-06"	"2.07e-07"	"-14.8570234"	"7.795023"	"-2.96631178"	"Ydjc"	"YdjC homolog (bacterial)"
"ILMN_2873793"	"6.21e-06"	"2.08e-07"	"14.8539642"	"7.79323"	"2.51399836"	"Mapkbp1"	"mitogen-activated protein kinase binding protein 1"
"ILMN_1227951"	"6.26e-06"	"2.10e-07"	"14.8336974"	"7.781348"	"2.49164729"	"Gcnt2"	"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"
"ILMN_3112011"	"6.30e-06"	"2.12e-07"	"14.8180845"	"7.772182"	"2.21627071"	"Dusp16"	"dual specificity phosphatase 16"
"ILMN_2613118"	"6.30e-06"	"2.12e-07"	"-14.8169616"	"7.771523"	"-2.55279573"	"Rfc4"	"replication factor C (activator 1) 4"
"ILMN_1245789"	"6.36e-06"	"2.15e-07"	"-14.7957172"	"7.759034"	"-2.71091634"	"Ccne2"	"cyclin E2"
"ILMN_2782841"	"6.39e-06"	"2.16e-07"	"14.7830939"	"7.751605"	"2.4247386"	"Ccdc144b"	"coiled-coil domain containing 144B"
"ILMN_2820383"	"6.39e-06"	"2.16e-07"	"14.7815977"	"7.750724"	"2.24599179"	"Rnf135"	"ring finger protein 135"
"ILMN_2977404"	"6.48e-06"	"2.20e-07"	"-14.7506787"	"7.732498"	"-2.40531892"	"Tmod1"	"tropomodulin 1"
"ILMN_3119014"	"6.48e-06"	"2.20e-07"	"-14.7487362"	"7.731351"	"-2.23381367"	""	""
"ILMN_1214762"	"6.49e-06"	"2.21e-07"	"14.7447525"	"7.729"	"2.2466562"	"Sgk3"	"serum/glucocorticoid regulated kinase 3"
"ILMN_3104025"	"6.52e-06"	"2.23e-07"	"14.7313863"	"7.721105"	"2.30357883"	"Asb13"	"ankyrin repeat and SOCS box-containing 13"
"ILMN_2595387"	"6.61e-06"	"2.26e-07"	"14.7054578"	"7.70577"	"2.54001188"	"Rnf31"	"ring finger protein 31"
"ILMN_2923463"	"6.64e-06"	"2.27e-07"	"-14.6922525"	"7.697949"	"-3.21514115"	"Kif23"	"kinesin family member 23"
"ILMN_2753057"	"6.69e-06"	"2.30e-07"	"14.676444"	"7.688576"	"2.20763707"	"Dtd1"	"D-tyrosyl-tRNA deacylase 1"
"ILMN_2474858"	"6.71e-06"	"2.30e-07"	"14.6693092"	"7.684343"	"2.23545983"	"Tnfaip2"	"tumor necrosis factor, alpha-induced protein 2"
"ILMN_2659317"	"6.82e-06"	"2.35e-07"	"-14.6362446"	"7.664697"	"-2.35802683"	"Arhgef39"	"Rho guanine nucleotide exchange factor (GEF) 39"
"ILMN_1259290"	"6.92e-06"	"2.39e-07"	"14.608141"	"7.647963"	"2.61439551"	"Akt3"	"thymoma viral proto-oncogene 3"
"ILMN_2820703"	"6.96e-06"	"2.40e-07"	"14.5940638"	"7.639568"	"2.30007562"	"Scarf1"	"scavenger receptor class F, member 1"
"ILMN_2460662"	"6.98e-06"	"2.42e-07"	"14.58561"	"7.634523"	"2.39305487"	"Tnfsf4"	"tumor necrosis factor (ligand) superfamily, member 4"
"ILMN_2621596"	"7.04e-06"	"2.44e-07"	"14.5662443"	"7.622954"	"2.62689413"	""	""
"ILMN_2770723"	"7.04e-06"	"2.45e-07"	"-14.5643493"	"7.621821"	"-2.37824011"	"Ncapg2"	"non-SMC condensin II complex, subunit G2"
"ILMN_2590917"	"7.04e-06"	"2.45e-07"	"14.560259"	"7.619376"	"2.89469738"	"Aim1"	"absent in melanoma 1"
"ILMN_2795040"	"7.10e-06"	"2.48e-07"	"-14.5411176"	"7.607921"	"-2.96580039"	"Hist1h2ad"	"histone cluster 1, H2ad"
"ILMN_1228453"	"7.10e-06"	"2.48e-07"	"14.5408088"	"7.607736"	"2.93977134"	""	""
"ILMN_2732576"	"7.13e-06"	"2.49e-07"	"14.5295373"	"7.600983"	"2.29542074"	"Pml"	"promyelocytic leukemia"
"ILMN_2776056"	"7.15e-06"	"2.50e-07"	"-14.522078"	"7.596511"	"-2.87956885"	"Rassf3"	"Ras association (RalGDS/AF-6) domain family member 3"
"ILMN_1224472"	"7.20e-06"	"2.53e-07"	"14.5061708"	"7.586967"	"2.42843233"	"Ccl4"	"chemokine (C-C motif) ligand 4"
"ILMN_3156343"	"7.32e-06"	"2.57e-07"	"14.4738612"	"7.567549"	"2.56454371"	"Wars"	"tryptophanyl-tRNA synthetase"
"ILMN_2636403"	"7.46e-06"	"2.63e-07"	"14.4377698"	"7.545805"	"2.75445349"	"Csrnp1"	"cysteine-serine-rich nuclear protein 1"
"ILMN_2879848"	"7.48e-06"	"2.64e-07"	"14.4301698"	"7.541219"	"2.53570001"	"St3gal3"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
"ILMN_2612206"	"7.48e-06"	"2.65e-07"	"-14.4261897"	"7.538817"	"-2.53081407"	"Cdc20"	"cell division cycle 20"
"ILMN_2833441"	"7.51e-06"	"2.66e-07"	"14.416058"	"7.532698"	"2.27486102"	"Trafd1"	"TRAF type zinc finger domain containing 1"
"ILMN_2616028"	"7.51e-06"	"2.66e-07"	"14.4144908"	"7.531751"	"2.21733266"	"Ptges"	"prostaglandin E synthase"
"ILMN_2734028"	"7.61e-06"	"2.70e-07"	"14.3878191"	"7.51562"	"2.15722313"	"Tank"	"TRAF family member-associated Nf-kappa B activator"
"ILMN_2428388"	"7.62e-06"	"2.72e-07"	"-14.3785422"	"7.510003"	"-2.52521882"	""	""
"ILMN_2842605"	"7.62e-06"	"2.72e-07"	"-14.3779449"	"7.509641"	"-2.36530784"	"Mical1"	"microtubule associated monooxygenase, calponin and LIM domain containing 1"
"ILMN_2958099"	"7.65e-06"	"2.73e-07"	"-14.3684474"	"7.503885"	"-2.13923237"	"Adssl1"	"adenylosuccinate synthetase like 1"
"ILMN_1254692"	"7.68e-06"	"2.75e-07"	"14.3593786"	"7.498386"	"2.53067684"	"Ms4a6b"	"membrane-spanning 4-domains, subfamily A, member 6B"
"ILMN_2740852"	"7.72e-06"	"2.77e-07"	"14.347075"	"7.49092"	"2.32594532"	"F2r"	"coagulation factor II (thrombin) receptor"
"ILMN_3133352"	"7.77e-06"	"2.79e-07"	"-14.3324771"	"7.482052"	"-2.39533963"	"Ung"	"uracil DNA glycosylase"
"ILMN_2821850"	"7.77e-06"	"2.79e-07"	"14.3307035"	"7.480975"	"3.29181165"	"Nampt"	"nicotinamide phosphoribosyltransferase"
"ILMN_2597255"	"7.77e-06"	"2.80e-07"	"-14.3255812"	"7.477861"	"-2.29480463"	"Cdc6"	"cell division cycle 6"
"ILMN_1249117"	"7.77e-06"	"2.80e-07"	"14.3243582"	"7.477117"	"2.42753402"	"Mov10"	"Moloney leukemia virus 10"
"ILMN_1215212"	"7.79e-06"	"2.82e-07"	"-14.3158612"	"7.471948"	"-2.64520427"	"Rhob"	"ras homolog family member B"
"ILMN_1224005"	"7.89e-06"	"2.86e-07"	"-14.2911317"	"7.456888"	"-2.19649437"	"Adam8"	"a disintegrin and metallopeptidase domain 8"
"ILMN_1254031"	"8.02e-06"	"2.91e-07"	"-14.2603145"	"7.438083"	"-2.20000353"	"Klf9"	"Kruppel-like factor 9"
"ILMN_2974611"	"8.13e-06"	"2.95e-07"	"14.2341997"	"7.422116"	"3.01144403"	"Tapbpl"	"TAP binding protein-like"
"ILMN_2742840"	"8.19e-06"	"2.98e-07"	"-14.2187609"	"7.412662"	"-2.68629609"	"Gpr34"	"G protein-coupled receptor 34"
"ILMN_1226325"	"8.21e-06"	"3.00e-07"	"-14.2108408"	"7.407808"	"-2.35254026"	"Cnnm2"	"cyclin M2"
"ILMN_2595091"	"8.21e-06"	"3.00e-07"	"-14.2074832"	"7.405749"	"-2.58023088"	"Nhlrc1"	"NHL repeat containing 1"
"ILMN_2854004"	"8.21e-06"	"3.00e-07"	"14.2054005"	"7.404472"	"2.82456362"	"Spic"	"Spi-C transcription factor (Spi-1/PU.1 related)"
"ILMN_3035162"	"8.27e-06"	"3.04e-07"	"14.1848478"	"7.391858"	"2.29399869"	"Sgk3"	"serum/glucocorticoid regulated kinase 3"
"ILMN_2473122"	"8.27e-06"	"3.04e-07"	"-14.1838254"	"7.39123"	"-2.6817824"	"Wrb"	"tryptophan rich basic protein"
"ILMN_1236459"	"8.27e-06"	"3.05e-07"	"-14.1819153"	"7.390057"	"-2.08900709"	"Paox"	"polyamine oxidase (exo-N4-amino)"
"ILMN_1250450"	"8.27e-06"	"3.05e-07"	"14.1805985"	"7.389248"	"2.39985663"	"Ogfr"	"opioid growth factor receptor"
"ILMN_2729458"	"8.57e-06"	"3.16e-07"	"-14.1168902"	"7.350019"	"-2.31329364"	"Idh1"	"isocitrate dehydrogenase 1 (NADP+), soluble"
"ILMN_2675064"	"8.62e-06"	"3.19e-07"	"14.1025029"	"7.341135"	"2.14839453"	"Adhfe1"	"alcohol dehydrogenase, iron containing, 1"
"ILMN_2632153"	"8.74e-06"	"3.24e-07"	"-14.0775933"	"7.325732"	"-2.86532343"	"Cdca2"	"cell division cycle associated 2"
"ILMN_2657844"	"8.87e-06"	"3.29e-07"	"-14.0491242"	"7.308094"	"-2.5926705"	"Cdk1"	"cyclin-dependent kinase 1"
"ILMN_2718189"	"8.87e-06"	"3.30e-07"	"-14.0434217"	"7.304556"	"-2.33450042"	"Chn2"	"chimerin 2"
"ILMN_2605890"	"8.87e-06"	"3.30e-07"	"-14.0427774"	"7.304157"	"-3.06110399"	"Tk1"	"thymidine kinase 1"
"ILMN_2688306"	"9.01e-06"	"3.36e-07"	"14.0144413"	"7.286557"	"2.53082663"	"Rbl1"	"retinoblastoma-like 1 (p107)"
"ILMN_2626779"	"9.03e-06"	"3.38e-07"	"14.0063468"	"7.281523"	"2.34422803"	"Nono"	"non-POU-domain-containing, octamer binding protein"
"ILMN_2604411"	"9.05e-06"	"3.39e-07"	"13.9976968"	"7.27614"	"2.12581964"	"Zc3h12a"	"zinc finger CCCH type containing 12A"
"ILMN_2975377"	"9.05e-06"	"3.40e-07"	"13.9957949"	"7.274956"	"2.14290436"	"Mtmr14"	"myotubularin related protein 14"
"ILMN_2670172"	"9.05e-06"	"3.40e-07"	"13.9956105"	"7.274841"	"2.80150278"	"Itga5"	"integrin alpha 5 (fibronectin receptor alpha)"
"ILMN_3111744"	"9.05e-06"	"3.41e-07"	"-13.9891931"	"7.270845"	"-2.63906068"	"Lpin1"	"lipin 1"
"ILMN_1216020"	"9.05e-06"	"3.41e-07"	"13.9883898"	"7.270345"	"2.93332662"	"Oas3"	"2'-5' oligoadenylate synthetase 3"
"ILMN_2919259"	"9.07e-06"	"3.42e-07"	"-13.9829476"	"7.266954"	"-2.51215959"	"Scd2"	"stearoyl-Coenzyme A desaturase 2"
"ILMN_1230708"	"9.13e-06"	"3.45e-07"	"13.9691221"	"7.258334"	"2.50371746"	"Clec4a1"	"C-type lectin domain family 4, member a1"
"ILMN_2623886"	"9.15e-06"	"3.47e-07"	"13.9611674"	"7.253371"	"2.47241557"	"Ggct"	"gamma-glutamyl cyclotransferase"
"ILMN_2638958"	"9.15e-06"	"3.47e-07"	"13.959469"	"7.252311"	"2.29991109"	"Cacybp"	"calcyclin binding protein"
"ILMN_2736347"	"9.21e-06"	"3.50e-07"	"-13.9446936"	"7.243083"	"-2.66085957"	"Prmt7"	"protein arginine N-methyltransferase 7"
"ILMN_2677634"	"9.25e-06"	"3.52e-07"	"13.9355175"	"7.237347"	"2.65197781"	"Clic5"	"chloride intracellular channel 5"
"ILMN_2701851"	"9.26e-06"	"3.53e-07"	"-13.9309392"	"7.234484"	"-2.40268854"	"Ncapd3"	"non-SMC condensin II complex, subunit D3"
"ILMN_3160659"	"9.27e-06"	"3.54e-07"	"-13.9265977"	"7.231768"	"-2.65104441"	"Dok2"	"docking protein 2"
"ILMN_1250486"	"9.33e-06"	"3.57e-07"	"13.9122647"	"7.222795"	"2.48125733"	"Tmem2"	"transmembrane protein 2"
"ILMN_2849449"	"9.43e-06"	"3.61e-07"	"13.8903851"	"7.20908"	"2.84903128"	"Itga5"	"integrin alpha 5 (fibronectin receptor alpha)"
"ILMN_2907327"	"9.43e-06"	"3.62e-07"	"13.8881753"	"7.207694"	"2.33568128"	"Dtx2"	"deltex 2, E3 ubiquitin ligase"
"ILMN_2680136"	"9.71e-06"	"3.74e-07"	"13.834593"	"7.174008"	"2.18485306"	"Ifi44"	"interferon-induced protein 44"
"ILMN_1230019"	"9.71e-06"	"3.74e-07"	"13.83329"	"7.173188"	"2.21131368"	"Uba7"	"ubiquitin-like modifier activating enzyme 7"
"ILMN_2922899"	"9.76e-06"	"3.77e-07"	"-13.8205896"	"7.165183"	"-2.44997285"	"Plcb2"	"phospholipase C, beta 2"
"ILMN_2846776"	"9.76e-06"	"3.77e-07"	"13.8180147"	"7.16356"	"2.72118362"	"Cdkn1a"	"cyclin-dependent kinase inhibitor 1A (P21)"
"ILMN_1238486"	"9.76e-06"	"3.78e-07"	"13.8164313"	"7.162561"	"2.11201745"	"Ctsc"	"cathepsin C"
"ILMN_2940446"	"9.82e-06"	"3.81e-07"	"13.8033807"	"7.154326"	"2.30197395"	"Dgka"	"diacylglycerol kinase, alpha"
"ILMN_1247999"	"9.83e-06"	"3.81e-07"	"13.8004382"	"7.152468"	"2.22704109"	"Birc3"	"baculoviral IAP repeat-containing 3"
"ILMN_2634796"	"9.84e-06"	"3.82e-07"	"13.7960188"	"7.149677"	"2.29578248"	"Socs1"	"suppressor of cytokine signaling 1"
"ILMN_1241696"	"9.85e-06"	"3.83e-07"	"-13.7910736"	"7.146553"	"-2.52381202"	"Fbxw4"	"F-box and WD-40 domain protein 4"
"ILMN_2940510"	"9.85e-06"	"3.84e-07"	"13.7876156"	"7.144367"	"2.18384153"	""	""
"ILMN_2595519"	"9.85e-06"	"3.85e-07"	"-13.7860053"	"7.14335"	"-2.32269"	"Lig1"	"ligase I, DNA, ATP-dependent"
"ILMN_2937735"	"9.90e-06"	"3.87e-07"	"13.7740205"	"7.13577"	"2.38546638"	"Irak2"	"interleukin-1 receptor-associated kinase 2"
"ILMN_3144164"	"1.00e-05"	"3.93e-07"	"-13.7504042"	"7.120816"	"-2.13997124"	"Irs2"	"insulin receptor substrate 2"
"ILMN_2602185"	"1.01e-05"	"3.95e-07"	"-13.7420909"	"7.115546"	"-2.27220617"	"Sept9"	"septin 9"
"ILMN_1219574"	"1.02e-05"	"4.02e-07"	"-13.7114083"	"7.096067"	"-2.61240899"	"Hist1h2af"	"histone cluster 1, H2af"
"ILMN_2728729"	"1.03e-05"	"4.05e-07"	"13.7016332"	"7.089852"	"2.01221423"	"Sdc4"	"syndecan 4"
"ILMN_3107690"	"1.04e-05"	"4.10e-07"	"13.6793948"	"7.075696"	"2.15970764"	"Fam177a"	"family with sequence similarity 177, member A"
"ILMN_1213645"	"1.04e-05"	"4.12e-07"	"-13.6729432"	"7.071585"	"-2.1245936"	"AI467606"	"expressed sequence AI467606"
"ILMN_2665359"	"1.05e-05"	"4.15e-07"	"13.6596347"	"7.063098"	"2.26519702"	"Sgk3"	"serum/glucocorticoid regulated kinase 3"
"ILMN_3154419"	"1.05e-05"	"4.16e-07"	"13.656639"	"7.061187"	"2.29067828"	"P2ry14"	"purinergic receptor P2Y, G-protein coupled, 14"
"ILMN_2654754"	"1.05e-05"	"4.18e-07"	"13.6484361"	"7.055951"	"2.1697689"	"Pdpn"	"podoplanin"
"ILMN_1245924"	"1.06e-05"	"4.20e-07"	"13.6378724"	"7.049203"	"2.39511792"	"Map3k8"	"mitogen-activated protein kinase kinase kinase 8"
"ILMN_2953596"	"1.06e-05"	"4.21e-07"	"13.6357461"	"7.047844"	"2.18320486"	"E2f5"	"E2F transcription factor 5"
"ILMN_2764588"	"1.06e-05"	"4.21e-07"	"13.6351845"	"7.047486"	"2.30191255"	"Igfbp7"	"insulin-like growth factor binding protein 7"
"ILMN_2942930"	"1.06e-05"	"4.24e-07"	"-13.6251578"	"7.041075"	"-2.11066389"	"Cdk20"	"cyclin-dependent kinase 20"
"ILMN_2669982"	"1.06e-05"	"4.24e-07"	"-13.6218507"	"7.038959"	"-2.30140429"	"1700025G04Rik"	"RIKEN cDNA 1700025G04 gene"
"ILMN_2749717"	"1.06e-05"	"4.25e-07"	"13.6208431"	"7.038315"	"2.74720284"	"Bcl3"	"B cell leukemia/lymphoma 3"
"ILMN_2753497"	"1.09e-05"	"4.37e-07"	"-13.5744653"	"7.008591"	"-2.62826865"	"Ccnb1"	"cyclin B1"
"ILMN_2756435"	"1.10e-05"	"4.43e-07"	"13.5516983"	"6.993963"	"2.08676945"	"Cebpb"	"CCAAT/enhancer binding protein (C/EBP), beta"
"ILMN_3162337"	"1.10e-05"	"4.44e-07"	"13.5460794"	"6.990349"	"2.08818528"	"Tlr6"	"toll-like receptor 6"
"ILMN_1224250"	"1.11e-05"	"4.46e-07"	"-13.5399386"	"6.986397"	"-2.2976721"	"N4bp2l1"	"NEDD4 binding protein 2-like 1"
"ILMN_2865016"	"1.12e-05"	"4.53e-07"	"13.5147613"	"6.970177"	"2.52936679"	"Cd83"	"CD83 antigen"
"ILMN_2807665"	"1.15e-05"	"4.63e-07"	"-13.4766658"	"6.945578"	"-1.98608004"	"Gatc"	"glutamyl-tRNA(Gln) amidotransferase, subunit C"
"ILMN_2598402"	"1.15e-05"	"4.64e-07"	"13.4753555"	"6.94473"	"3.24503719"	""	""
"ILMN_2685194"	"1.15e-05"	"4.65e-07"	"13.4712815"	"6.942095"	"2.30583909"	"Cers6"	"ceramide synthase 6"
"ILMN_1250409"	"1.15e-05"	"4.66e-07"	"13.4676001"	"6.939713"	"4.15371848"	"Tap1"	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
"ILMN_2716602"	"1.15e-05"	"4.69e-07"	"13.4559271"	"6.932157"	"2.2857502"	"Lgals9"	"lectin, galactose binding, soluble 9"
"ILMN_2612776"	"1.16e-05"	"4.71e-07"	"13.4509111"	"6.928907"	"2.01160918"	"Iigp1"	"interferon inducible GTPase 1"
"ILMN_1255648"	"1.16e-05"	"4.72e-07"	"13.4479622"	"6.926997"	"3.01062527"	"Csf3r"	"colony stimulating factor 3 receptor (granulocyte)"
"ILMN_2867899"	"1.17e-05"	"4.77e-07"	"-13.430286"	"6.915535"	"-3.3745278"	"Cdc20"	"cell division cycle 20"
"ILMN_2956095"	"1.17e-05"	"4.79e-07"	"13.4242496"	"6.911617"	"2.06683501"	"Rassf4"	"Ras association (RalGDS/AF-6) domain family member 4"
"ILMN_2679885"	"1.19e-05"	"4.86e-07"	"13.3983177"	"6.894767"	"2.02330995"	"Mocs1"	"molybdenum cofactor synthesis 1"
"ILMN_2850402"	"1.19e-05"	"4.90e-07"	"-13.3841856"	"6.88557"	"-2.22327139"	"Hgh1"	"HGH1 homolog"
"ILMN_3151503"	"1.20e-05"	"4.92e-07"	"13.3785633"	"6.881909"	"2.003406"	"Mapk1ip1l"	"mitogen-activated protein kinase 1 interacting protein 1-like"
"ILMN_1238374"	"1.20e-05"	"4.92e-07"	"-13.3783599"	"6.881776"	"-2.253736"	"Cdc7"	"cell division cycle 7 (S. cerevisiae)"
"ILMN_1233064"	"1.21e-05"	"4.97e-07"	"-13.362081"	"6.871166"	"-2.08570596"	"Cdk2"	"cyclin-dependent kinase 2"
"ILMN_2813286"	"1.21e-05"	"5.02e-07"	"-13.3478166"	"6.861859"	"-1.99795929"	"Atxn3"	"ataxin 3"
"ILMN_1253919"	"1.21e-05"	"5.02e-07"	"13.3448752"	"6.859938"	"2.16877839"	"Ccl3"	"chemokine (C-C motif) ligand 3"
"ILMN_2601865"	"1.21e-05"	"5.03e-07"	"13.3440621"	"6.859407"	"2.12530907"	"Mrpl52"	"mitochondrial ribosomal protein L52"
"ILMN_2945560"	"1.22e-05"	"5.09e-07"	"-13.3236365"	"6.846058"	"-2.07647293"	"Kctd12b"	"potassium channel tetramerisation domain containing 12b"
"ILMN_1233402"	"1.22e-05"	"5.10e-07"	"-13.3219533"	"6.844957"	"-1.99882976"	"Syt11"	"synaptotagmin XI"
"ILMN_2812084"	"1.22e-05"	"5.10e-07"	"-13.3202183"	"6.843822"	"-2.53004029"	"Rcbtb2"	"regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2"
"ILMN_2737381"	"1.22e-05"	"5.11e-07"	"13.3186497"	"6.842796"	"2.56451224"	"Ccdc50"	"coiled-coil domain containing 50"
"ILMN_2523169"	"1.22e-05"	"5.11e-07"	"-13.3174367"	"6.842002"	"-2.37926466"	"Treml1"	"triggering receptor expressed on myeloid cells-like 1"
"ILMN_1228827"	"1.23e-05"	"5.13e-07"	"13.3096779"	"6.836924"	"2.31679203"	"Armcx6"	"armadillo repeat containing, X-linked 6"
"ILMN_2701664"	"1.23e-05"	"5.15e-07"	"-13.3057079"	"6.834324"	"-2.49623385"	"Tsc22d3"	"TSC22 domain family, member 3"
"ILMN_3135473"	"1.23e-05"	"5.18e-07"	"13.2965114"	"6.828299"	"2.07566896"	"Rap2c"	"RAP2C, member of RAS oncogene family"
"ILMN_3126697"	"1.24e-05"	"5.20e-07"	"13.2884845"	"6.823037"	"2.09515614"	"Skil"	"SKI-like"
"ILMN_2589256"	"1.25e-05"	"5.25e-07"	"13.2748857"	"6.814115"	"2.26310373"	"Adap2"	"ArfGAP with dual PH domains 2"
"ILMN_2846775"	"1.25e-05"	"5.25e-07"	"13.2722169"	"6.812363"	"2.37243662"	"Cdkn1a"	"cyclin-dependent kinase inhibitor 1A (P21)"
"ILMN_2668696"	"1.25e-05"	"5.27e-07"	"13.265974"	"6.808263"	"2.36770718"	"Il13ra1"	"interleukin 13 receptor, alpha 1"
"ILMN_3113437"	"1.27e-05"	"5.37e-07"	"13.2374951"	"6.789537"	"2.73771195"	"Tmem2"	"transmembrane protein 2"
"ILMN_2639642"	"1.28e-05"	"5.43e-07"	"-13.2182193"	"6.776839"	"-2.40857518"	"Arhgef6"	"Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6"
"ILMN_2829646"	"1.30e-05"	"5.50e-07"	"13.1980208"	"6.763514"	"2.21920231"	"Ift172"	"intraflagellar transport 172"
"ILMN_2753029"	"1.31e-05"	"5.56e-07"	"13.1812346"	"6.752425"	"2.8195317"	"Gch1"	"GTP cyclohydrolase 1"
"ILMN_1237886"	"1.31e-05"	"5.56e-07"	"-13.1801984"	"6.75174"	"-3.062354"	"Enc1"	"ectodermal-neural cortex 1"
"ILMN_1238130"	"1.31e-05"	"5.60e-07"	"13.1697267"	"6.744814"	"2.04564794"	"Elp5"	"elongator acetyltransferase complex subunit 5"
"ILMN_2987487"	"1.31e-05"	"5.60e-07"	"13.1697109"	"6.744804"	"2.20382369"	"Tmem171"	"transmembrane protein 171"
"ILMN_1235347"	"1.33e-05"	"5.69e-07"	"13.1449697"	"6.728419"	"2.13075899"	"Pgap2"	"post-GPI attachment to proteins 2"
"ILMN_2607675"	"1.33e-05"	"5.69e-07"	"13.1429329"	"6.727069"	"1.96386553"	"H2-Ab1"	"histocompatibility 2, class II antigen A, beta 1"
"ILMN_2751527"	"1.34e-05"	"5.72e-07"	"13.1366587"	"6.722909"	"2.31285985"	"Srgn"	"serglycin"
"ILMN_2504397"	"1.34e-05"	"5.74e-07"	"13.130469"	"6.718802"	"2.28712"	"Mlkl"	"mixed lineage kinase domain-like"
"ILMN_1218901"	"1.34e-05"	"5.75e-07"	"13.126584"	"6.716224"	"1.9128202"	"Tbc1d13"	"TBC1 domain family, member 13"
"ILMN_2873988"	"1.34e-05"	"5.76e-07"	"13.1245775"	"6.714892"	"3.1650555"	"Rtp4"	"receptor transporter protein 4"
"ILMN_2744217"	"1.34e-05"	"5.78e-07"	"-13.1190459"	"6.711219"	"-2.92005509"	"Spag5"	"sperm associated antigen 5"
"ILMN_3161863"	"1.34e-05"	"5.78e-07"	"-13.1186575"	"6.710961"	"-2.32357893"	"Lrrc14b"	"leucine rich repeat containing 14B"
